,comentarios,estrelas
0,"Comprei o produto, que não veio sequer embalado pela loja ou seja, qualquer funcionário do correio ou que estiver passando via o que era meu produto, me expondo e ao chegar, segui todas as instruções do manual de instalação e o produto não funcionou, acredito que seja um defeito de fábrica, estou aguardando a troca, espero que venha logo pois preciso da impressora para trabalhar e está me fazendo muita falta.",1
1,"Amei, minha multifuncional, coube direitinho no meu espaço e ainda atingiu  minhas espectativas",5
2,"Boa qualidade de impressão e de digitalização com custo relativamente baixo. Uma grande vantagem é possuir cartuchos de tinta individuais para cada cor, além dos cartuchos Epson serem mais baratos do que os dos concorrentes. Ideal para uso residencial. A entrega foi eficiente, um dia antes do prazo final.",5
3,"Comprei a multifuncional por um valor acessível o produto tem ótimo desempenho com alta qualidade de impressão tem fácil instalação também,além de ser compacta e dispensar a necessidade de cabos pós a mesma possuí sistema wi-fi mas vale ressaltar que os cartuchos são apenas para testes mas tem boa durabilidade,sobre a entrega foi feita com um dia de atraso e a falta de rastrear a carga através de um código é angustiante mas tudo transcorreu com normalidade e qualidade e já fiz mais compras.",5
4,"Otima impressora, recomendado exelente custo beneficio",5
5,comprei a epson xp 241 a entrega foi muito rapida mais fui comprar  outro cartucho nao acho o original,2
6,Produto de fácil montagem. Porém indico um manual mais explicativo sobre instalação via Internet. Já que muitos computadores não possuem mais entrada para CD.,4
7,"Recomendo muito impressoras epson, de várias marcas já utilizadas ela é a q durou mais. São robustas e tem um custo benefício muito atrativo para uso residencial.",5
8,"multifuncional top - excelente impressão - utiliza cartuchos Epson 296 [coloridos e preto] ou 297 [preto de alta capacidade] - fácil instalação se seguir o manual - único porém é quando for trocar de casa a impressora, ela não reconhece o wifi da ""nova"" residência e é necessário instalar novamente! Scanner perfeito",5
9,"Ótimo produto, entrega dentro do prazo. Senti falta do código de rastreamento que não era disponível no modo que comprei, mas valeu
Mesmo sem saber qual dia exato chegaria !",5
10,Gostei da performance na impressão. A impressora mais rápida que vi. O custo beneficio até agora parece muito bom e só espero que a tinta dure o bastante pois depois de alguns dias parou de mostrar a quantidade ao imprimir.,4
11,"De cara mim dera 21 dias depois aumentarão o prazo de entrega, não gostei muito, mas chegou antes do prazo combinado. Produto de excelente qualidade e muito bom que veio com os cartuchos, outras que eu comprei não veio mais essa veio. Recomendo e voltarei a compra no sit novamente.",5
12,"excelente qualidade de impressão, fácil instalação, ótimo custo x benefício",4
13,Impressora com recursos sem fio e cartuchos de tinta mais baratos. Ótimo custo X beneficio. O fato de ser sem fio não deixa a instalação mais fácil não. De qualquer forma é necessário instala-la em cada dispositivo igual a qualquer impressora com cabo. A única diferença está na mobilidade.,4
14,"foi uma compra normal, o produto chegou no prazo e sem nenhum detalhe. considero bom.",3
15,"O produto é ótimo, compacta,bonita, estou satisfeito.",5
16,Impressora Epson XP241 é boa superou minha expectativas.,4
17,"O produto é muito bonito, tem um bom desempenho, bom custo-benefício. Mas como quase todo Notebook os 4GB de RAM não favorece muito a abertura de diversas janelas e programas.",4
18,"Até agora só utilizei para as impressões de teste. A impressão colorida é muito boa, mas a preta poderia ser melhor. Ela imprime rápido e é silenciosa. Testei o scanner e a copiadora colorida e preto e branco.. tudo funciona bem.
Ainda não configurei pelo wi fi.",4
19,"Atende bem as expectativas de um usuário doméstico como eu, rápida e funcional.",5
20,"amei o aparelho epson xp241, porém ele é complicado pra instalar o wifi dele. de resto seu desempenho é otimo.
o liquidificador é muito bom, trabalha muito bem no minimo, no maximo é maravilhoso. estou muito satisfeita com este.",4
21,"É um excelente relógio para o fim q se destina. Ótimo custo benefício se conseguir comprar lo por um preço promocional como consegui. É leve, de fácil manuseio,  tem um display com tamanho bacana e a interação com o PC lhe fornece várias informações sobre suas corridas. Só não dou a avaliação máxima por conta do app para celular (o próprio da tom tom) q não roda em muitos celulares. Após pesquisa vi q esse é o ponto negativo para muitas pessoas.",4
22,"tinha um problema serio com outras lavadoras de roupa, ficava cheia de pelo. Roupa preta ficava manchada. Com a Samsumg isso acabou.",5
23,"Nada demais, quase 100% em MDP, o famigerado aglomerado ou compensado. Extremamente difícil de montar, mas cai bem na sala.",3
24,Entrega rápida e produto bom. Dentro do esperado.!,5
25,Eu tenho uma excelente produto imprimir com muita qualidade custo benefício muito bom,5
26,"Gostei da impressora. Aparentemente, funciona muito bem. Imprime com grandes detalhes.",4
27,"CONEXÃO WIFI NÃO É SALVA, SENDO NECESSÁRIO A CADA VEZ QUE O EQUIPAMENTO É DESLIGADO, REFAZER CONEXÃO",3
28,"bom produto  para impressão ,boa definição de imagem",4
29,"Sempre achei a impressora epson, uma das melhores , se não a melhor do mercado. Atende a todos os requisitos primordiais e de suma importância ao uso, dando todo suporte necessário. Tem uma infraestrutura impecável, de fácil manuseio.  
Sem sombra de dúvidas, recomendaria para todos meus amigos. 
Parabéns Epson pelo excelente trabalho!",5
30,"Uma ótima impressora. Faz a sua função perfeitamente, não tive nenhum problema e é fácil de mexer. A função wi-fi funciona normalmente, da para imprimir direto do celular.",5
31,O produto é de grande importância e serventia para o meu trabalho,5
32,"Comprei esse produto em Porto Alegre. Os cartuchos acabam em segundos, não funciona direito, tenho a menos de 5 meses e só foi usada de verdade ( funcionalmente ) umas 2 vezes, já comprei vários cartuchos achando que fosse isso, mas não. Horrível, não recomendo, assim que possível irei na loja trocar. Porque ela tá louca reclamando de falta de tinta e papel sendo que tá tudo super ok dentro, o problema é de fábrica. muito barato pra ser verdade. Não recomendo pra ninguém!",1
33,"Atendeu bem as minhas necessidades, super recomendo",5
34,"Gostei do produto.
Era aquilo que eu esperava.
Bom funcionamento",5
35,"Chegou antes do prazo , e o produto e ótimo rápido e bem prático!",5
36,"Produto maravilhoso, fácil de usar e de uma ótima qualidade.",5
37,"Supriu minhas necessidades, única desvantagem é que não permite bulk ink, de resto, excelente aparelho",4
38,"Recomendo, a impressora pra uso pessoal é ótima em relação custo benefício melhor ainda.",4
39,"Ótima impressora, fácil instalação, cartucho de teste com pouca tinta fora isso recomendo, impressão excelente e fácil manuseio",5
40,"Ótimo produto , atendeu minhas necessidades , e superou minhas expectativas. Recomendo.",5
41,Foi entregue antes do prazo muito boa a impressão.,4
42,"Até agora estou adorando ela,tá tudo normal.
A instalação foi um pouco difícil mais consegui,Recomendo.",5
43,"Eu amei e super recomendo,evolução ótima,mais do que eu esperava",5
44,Excelente. Entregaram em casa e antes do prazo previsto.,5
45,O produto está me atendendo muito bem. Gostei muito e recomendo,5
46,"Chegou em ótimo estado,e faz tudo que falar na descrição dela amei o produto,recomendo Concerteza!",5
47,"A Magazine é Ótima, mas essa impressora é dinheiro jogado no lixo. Vc gasta muito comprando cartuchos que fazem pouca impressões. Sai muito melhor vc fazer um esforço pra comprar uma com tanque de tinta.",1
48,O produto poszui wifi e isso ficou ótimo pra trabalhar com ela,5
49,"Faz uma semana que comprei simplesmente não funciona, meu Deus 
os cartuchos praticamente vazios",2
50,A impressora é tudo aquilo q o site indicou amei. E chegou no praso,5
51,"Impressora com preço ótimo, econômica  , pequena do jeitinho que eu queria ,instalação super fácil. Estou amando chegou muito rápido. Magazine Luiza estão de parabéns.",5
52,"ruim ,sem tinta e não funciona se estiver faltando algum cartucho",1
53,Bom produto. Para uso doméstico é satisfatório. Embora muito barulhenta e um pouco lenta na impressão via Wi-Fi.,4
54,"Bom,eu estou muito satisfeito com o produto adquirido até agora.",4
55,"Produto não cumpre sua função principal, que deveria ser imprimir. Menos de uma semana de uso, após apenas 5 impressões de texto, o cartucho preto ja pifou. Se quiser dor de cabeça e despesa, pode pode comprar sem medo!",1
56,"Só  compensa se o seu volume de impressão for algumas impressões na semana, uma cópia de um documento ali, um escaneamento ali... pois a autonomia de tinha dos cartuchos é muito peguena, mesmo comprando os de alto rendimento. Assim como toda impressora que usa cartucho, você tem que usar no mínimo 3 vezes na semana, senão entope os cartuchos, aí é tentar desentupir ou comprar outro. A qualidade da impressão não é boa, as letras parecem meio apagada, desforme, mesmo no modo alta qualidade , por exemplo, os  códigos de Barra de um boleto impresso por ela muito dificilmente dá para se lido pelas máquinas, acho que é devido à tinta da epson que penetra no interior do papel, e é bem resistente a água, nao borra. Não imprime se um dos cartuchos estiver vazios, e só os encontros a custo bom no Magazine Luiza, até que faz frete grátis no app. Estou com ela há 2 anos e meio e não apresentou problemas.",3
57,"Estou super chateda com esse produto, apos 9 dias em casa ele simplismente não liga mais, sendo que so foram feitas 3 impressões.",1
58,"Parou de funcionar com 10 minutos de uso. Não houve mau uso, ela estava bem instalada a energia estava boa, porém ela desligou sozinha e não ligou mais.",1
59,comprei ela no sábado e hoje é  quarta feira. Parou de funcionar do nada.,1
60,"Esta atendendo a expectativa, espero que continue assim.",5
61,"O produto é ótimo, sendo que eu não estava ciente que o mesmo vinha com um cartucho que serviu só pra teste!",3
62,"Esta impressora ´ótima, compacta, e muito eficiente.",4
63,Excelente imprssora. Custo beneficio muito bom! Recomendo.,4
